Indent|Reference|Text|Document|Page|Heading|full_reference|word_count
0|Legal context||||True|Legal context|0
0||Although the Republic of South Africa (South Africa) has had exchange controls since 1939, the foundation thereof is the Currency and Exchanges Act, 1933 (Act No. 9 of 1933) (the Act) and the Exchange Control Regulations (Regulations) promulgated thereunder in terms of section 9(1) of the Act, on 1961-12-01. In terms of these Regulations, the control over South Africa's foreign currency reserves, including accruals thereto and spending thereof is vested in the Treasury, who is authorised to grant permissions or exemptions for certain transactions, subject to certain conditions. Although these permissions or exemptions which were previously referred to as 'Rulings' have no statutory force, they have the effect of law. 'Treasury', is however defined to mean, in relation to any matter contemplated in the Regulations, the Minister of Finance or an officer in the Department of Finance (now the National Treasury) who, by virtue of the division of work in that Department, deals with the matter on the authority of the Minister of Finance.|||False|Legal context|164
0||The Minister of Finance has in terms of Regulation 22E delegated to the Governor, a Deputy Governor, the Head of the Financial Surveillance Department as well as other officials in the Financial Surveillance Department, the powers, functions and duties assigned to and imposed on the Treasury under the Regulations. The Financial Surveillance Department of the South African Reserve Bank (Financial Surveillance Department) is therefore responsible for the day to day administration of exchange controls in South Africa.|||False|Legal context|77
0||Section 9(5)(a) of the Act provides for the issuing of Orders and Rules, the current set of which was also promulgated on 1961-12-01. The Orders and Rules contain various orders, rules, exemptions, forms and procedural arrangements.|||False|Legal context|36
0||The Financial Surveillance Department, as designated supervisory body is in terms of section 45 of the Financial Intelligence Centre Act, 2001 (Act No. 38 of 2001) (the FIC Act) responsible for supervising and enforcing compliance with the FIC Act or any order, determination or directive made in terms of the FIC Act by all Authorised Dealers in foreign exchange with limited authority (ADLAs) regulated or supervised by it.|||False|Legal context|68
0|Introduction||||True|Introduction|0
0||In terms of Regulation 2(2), an Authorised Dealer shall not buy, borrow, receive, sell, lend or deliver any foreign currency or gold except for such purposes or on such conditions as the Treasury, as defined, may determine, subject to the delegation referred to above.|||False|Introduction|44
0||This Currency and Exchanges Manual for Authorised Dealers in foreign exchange with limited authority (ADLA Manual) contains the permissions and conditions applicable to transactions in foreign exchange that may be undertaken by Authorised Dealers in foreign exchange with limited authority (ADLAs) and/or on behalf of their customers in terms of Regulation 2(2), details of related administrative responsibilities, the FinSurv Reporting requirements as well as the requirements of the FIC Act applicable to ADLAs. This ADLA Manual must be read in conjunction with the Regulations and ADLAs may transact without reference to the Financial Surveillance Department, provided such transactions are permitted in terms of this ADLA Manual.|||False|Introduction|106
0||The arrangements set out in the ADLA Manual should in no manner be construed as absolving ADLAs, their clients and associated entities from their duties and obligations under any other law, including but not limited to the Prevention of Organised Crime Act, 1998 (Act No. 121 of 1998), the Financial Intelligence Centre Act, 2001 (Act No. 38 of 2001) and the Protection of Constitutional Democracy against Terrorist and Related Activities Act, 2004 (Act No. 33 of 2004).|||False|Introduction|77
0||The Financial Surveillance Department views contraventions of the Exchange Control Regulations, as well as any actions to circumvent the permissions and conditions contained in the ADLA Manual, in a very serious light.|||False|Introduction|32
0||The Financial Surveillance Department reserves the right to amend, grant or impose additional permissions or conditions, with new or amended permissions or conditions which will be communicated by the Financial Surveillance Department on its website.|||False|Introduction|35
0||In instances where an Authorised Dealer is not in a position to buy or sell foreign currency in terms of the permissions and conditions set out in the ADLA Manual, an official application with full details applicable to the request must be submitted to the Financial Surveillance Department.|||False|Introduction|48
0||For the benefit of the general public, the Currency and Exchanges Guidelines for Individuals and Currency and Exchanges Guidelines for Business Entities have been published by the Financial Surveillance Department. These guidelines set out, in less technical terms, the permissions and conditions relating to cross-border foreign transactions.|||False|Introduction|47
0||The ADLA Manual, Currency and Exchanges Manual for Authorised Dealers, Currency and Exchanges Guidelines for Individuals, Currency and Exchanges Guidelines for Business Entities and applicable amendments thereto are available on the South African Reserve Bank's website: www.reservebank.co.za.|||False|Introduction|37
0|A.1|Definitions|||True|A.1|1
0|A.2|Authorised entities|||True|A.2|2
1|(A)|Authorised Dealers in foreign exchange with limited authority|||True|A.2(A)|8
1||The offices in South Africa of the under-mentioned entities are authorised to act, for the purposes of the Regulations, as ADLAs:|||False|A.2(A)|21
1|(B)|Authorised Dealers|||True|A.2(B)|2
1||The offices in South Africa of the under-mentioned banks are authorised to act, for the purposes of the Regulations, as Authorised Dealers:|||False|A.2(B)|22
1|(C)|Restricted Authorised Dealers|||True|A.2(C)|3
1||The office in South Africa of the under-mentioned banks are authorised to act, for the purposes of the Regulations, as a Restricted Authorised Dealers in respect of permissible credit card transactions per the quoted sections of the Currency and Exchanges Manual for Authorised Dealers:|||False|A.2(C)|44
0|A.3|The terms and conditions for submission of an application for authorisation to conduct the business of an Authorised Dealer in foreign exchange with limited authority|||True|A.3|25
1|(A)|Categories of Authorised Dealers in foreign exchange with limited authority|||True|A.3(A)|10
1||ADLAs are classified into the following four categories:|||False|A.3(A)|8
2|(i)|Category One|||False|A.3(A)(i)|2
2||An ADLA who is authorised to operate as a Bureau de Change.|||False|A.3(A)(i)|12
2|(ii)|Category Two|||False|A.3(A)(ii)|2
2||An ADLA who is authorised to operate as a Bureau de Change, provide specific transactions under the single discretionary allowance limit of R1 million per applicant within the calendar year and offer money remittance services in partnership with external money transfer operators.|||False|A.3(A)(ii)|42
2|(iii)|Category Three|||False|A.3(A)(iii)|2
2||An ADLA who is authorised to operate as an independent money transfer operator and/or value transfer service provider.|||False|A.3(A)(iii)|18
2|(iv)|Category Four|||False|A.3(A)(iv)|2
2||An ADLA who is authorised to:|||False|A.3(A)(iv)|6
3|(a)|operate as a Bureau de Change;|||False|A.3(A)(iv)(a)|6
3|(b)|provide specific transactions under the single discretionary allowance limit of R1 million per applicant within the calendar year;|||False|A.3(A)(iv)(b)|18
3|(c)|offer money remittance services in partnership with external money transfer operators;|||False|A.3(A)(iv)(c)|11
3|(d)|operate as an independent money transfer operator; and/or|||False|A.3(A)(iv)(d)|8
3|(e)|operate as a value transfer service provider.|||False|A.3(A)(iv)(e)|7
1|(B)|Application procedure|||True|A.3(B)|2
2|(i)|An application to conduct the business of an ADLA must be submitted to the Financial Surveillance Department.|||False|A.3(B)(i)|17
2|(ii)|The completed prescribed 'Application for authorisation to conduct the business of an Authorised Dealer in foreign exchange with limited authority, a copy of which is attached hereto as Annexure A, must be accompanied by the following information:|||False|A.3(B)(ii)|37
3|(a)|a certified copy of the Notice of Incorporation (Form CoR14.1) issued by the CIPC, as proof of the registration of the limited liability company in South Africa under the Companies Act, 2008 (Act No. 71 of 2008);|||False|A.3(B)(ii)(a)|37
3|(b)|a certified copy of the Registration Certificate (Form CoR14.3) issued by CIPC, as proof that the company has been registered in terms of section 14 of the Companies Act, 2008 (Act No. 71 of 2008);|||False|A.3(B)(ii)(b)|35
3|(c)|a certified copy of the Memorandum of Incorporation (Form CoR15.1A) issued by CIPC;|||False|A.3(B)(ii)(c)|13
3|(d)|details of the proposed place of business which must fully comply with the conditions as provided for in sections B.2(A) and (D) of the ADLA Manual;|||False|A.3(B)(ii)(d)|26
