Indent|Reference|Text|Document|Page|Heading|full_reference|word_count
0|Legal context||||True|Legal context|0
1||Although the Republic of South Africa (South Africa) has had exchange controls since 1939, the foundation thereof is the Currency and Exchanges Act, 1933 (Act No.  9 of 1933) (the Act) and the Exchange Control Regulations (Regulations) promulgated thereunder in terms of section 9(1) of the Act, on 1961-12-01. In terms of these Regulations, the control over South Africa's foreign currency reserves, including accruals thereto and spending thereof is vested in the Treasury, who is authorised to grant permissions or exemptions for certain transactions, subject to certain conditions. Although these permissions or exemptions which were previously referred to as ‘Rulings' have no statutory force, they have the effect of law. ‘Treasury', is however defined to mean, in relation to any matter contemplated in the Regulations, the Minister of Finance or an officer in the Department of Finance (now the National Treasury) who, by virtue of the division of work in that Department, deals with the matter on the authority of the Minister of Finance.|||False|Legal context|164
1||The Minister of Finance has in terms of Regulation 22E delegated to the Governor, a Deputy Governor, the Head of the Financial Surveillance Department as well as other officials in the Financial Surveillance Department, the powers, functions and duties assigned to and imposed on the Treasury under the Regulations. The Financial Surveillance Department of the South African Reserve Bank (Financial Surveillance Department) is therefore responsible for the day to day administration of exchange controls in South Africa.|||False|Legal context|77
1||Section 9(5)(a) of the Act provides for the issuing of Orders and Rules, the current set of which was also promulgated on 1961-12-01. The Orders and Rules contain various orders, rules, exemptions, forms and procedural arrangements.|||False|Legal context|36
0|Introduction||||True|Introduction|0
1||In terms of Regulation 2(2), an Authorised Dealer shall not buy, borrow, receive, sell, lend or deliver any foreign currency or gold except for such purposes or on such conditions as the Treasury, as defined, may determine, subject to the delegation referred to above.|||False|Introduction|44
1||This Currency and Exchanges Manual for Authorised Dealers (Authorised Dealer Manual) contains the permissions and conditions applicable to transactions in foreign exchange that may be undertaken by Authorised Dealers and/or on behalf of their clients in terms of Regulation 2(2), details of related administrative responsibilities as well as the FinSurv Reporting requirements. This Authorised Dealer Manual must be read in conjunction with the Regulations and Authorised Dealers may transact without reference to the Financial Surveillance Department, provided such transactions are permitted in terms of this Authorised Dealer Manual.|||False|Introduction|88
1||The arrangements set out in the Authorised Dealer Manual should in no manner be construed as absolving Authorised Dealers, their clients and associated entities from their duties and obligations under any other law, including but not limited to the Prevention of Organised Crime Act, 1998 (Act No. 121 of 1998), the Financial Intelligence Centre Act, 2001 (Act No. 38 of 2001) and the Protection of Constitutional Democracy against Terrorist and Related Activities Act, 2004 (Act No. 33 of 2004).|||False|Introduction|79
1||The Financial Surveillance Department views contraventions of the Exchange Control Regulations, as well as any actions to circumvent the permissions and conditions contained in the Authorised Dealer Manual, in a very serious light.|||False|Introduction|33
1||The Financial Surveillance Department reserves the right to amend, grant or impose additional permissions or conditions, with new or amended permissions or conditions which will be communicated by the Financial Surveillance Department on its website.|||False|Introduction|35
1||In instances where an Authorised Dealer is not in a position to buy, borrow, sell or lend foreign currency in terms of the permissions and conditions set out in the Authorised Dealer Manual, an official application with full details applicable to the request must be submitted to the Financial Surveillance Department.|||False|Introduction|51
1||For the benefit of the general public, Currency and Exchanges guidelines for business entities and Currency and Exchanges guidelines for individuals have been published by the Financial Surveillance Department. These guidelines set out, in less technical terms, the permissions and conditions relating to cross-border foreign transactions.|||False|Introduction|46
1||The Authorised Dealer Manual, ADLA Manual, Currency and Exchanges guidelines for business entities, Currency and Exchanges guidelines for individuals and applicable amendments thereto are available on the South African Reserve Bank's website: www.resbank.co.za.|||False|Introduction|33
0|A.1|Definitions|||True|A.1|1
0|A.2|Authorised entities|||True|A.2|2
1|(A)|Authorised Dealers|||True|A.2(A)|2
1||The offices in South Africa of the under-mentioned banks in Table 1 are authorised to act, for the purposes of the Regulations, as Authorised Dealers:|||False|A.2(A)|25
1||Restricted Authorised Dealers|||False|A.2(A)|3
1||The office in South Africa of the under-mentioned bank in table 2 is authorised to act, for the purposes of the Regulations, as a Restricted Authorised Dealers in respect of permissible credit card transactions per the quoted sections of the Currency and Exchanges Manual for Authorised Dealers:|||False|A.2(A)|47
1|(B)|Authorised Dealers in foreign exchange with limited authority|||True|A.2(B)|8
1||The offices in South Africa of the under-mentioned entities in table 3 are authorised to act, for the purposes of the Regulations, as ADLAs:|||False|A.2(B)|24
0|A.3|Duties and responsibilities of Authorised Dealers|||True|A.3|6
1|(A)|Introduction|||True|A.3(A)|1
2|(i)|Authorised Dealers should note that when approving requests in terms of the Authorised Dealer Manual, they are in terms of the Regulations, not allowed to grant permission to clients and must refrain from using wording that approval/permission is granted in correspondence with their clients. Instead reference should be made to the specific section of the Authorised Dealer Manual in terms of which the client is permitted to transact.|||False|A.3(A)(i)|68
2|(ii)|In carrying out the important duties entrusted to them, Authorised Dealers should appreciate that uniformity of policy is essential, and that to ensure this it is necessary for the Regulations, Authorised Dealer Manual and circulars to be applied strictly and impartially by all concerned.|||False|A.3(A)(ii)|44
2|(iii)|Any deviation from or non-compliance with the directives contained in the aforementioned documents is regarded in a serious light and Authorised Dealers are urged to adhere strictly to the directives issued.|||False|A.3(A)(iii)|31
2|(iv)|In the interest of all parties concerned, it is emphasised that action may be taken in the event of transgressions of the Regulations and non-compliance with the Authorised Dealer Manual, circulars and other directives and authorities. The circulars, other directives and authorities need to be emphasised and adhered to by both the Authorised Dealer and its clients.|||False|A.3(A)(iv)|57
2|(v)|The provisions of Regulation 2(1), expressly prohibit foreign exchange transactions other than through an Authorised Dealer.|||False|A.3(A)(v)|16
2|(vi)|Authorised Dealers must ensure that foreign currency is made available for legitimate purposes only and must call for the production of documentary evidence where requested in the Authorised Dealer Manual.|||False|A.3(A)(vi)|30
2|(vii)|Care must be exercised by Authorised Dealers to ensure that no payments to third parties abroad are effected. Transactions of this nature must be referred to the Financial Surveillance Department for prior written approval.|||False|A.3(A)(vii)|34
1|(B)|Procedures to be followed by Authorised Dealers in administering the Exchange Control Regulations|||True|A.3(B)|13
2|(i)|In cases where an Authorised Dealer is uncertain and/or cannot approve the purchase or sale of foreign currency or any other transaction in terms of the authorities set out in the Authorised Dealer Manual, an application should be submitted to the Financial Surveillance Department via the head office of the Authorised Dealer concerned.|||False|A.3(B)(i)|53
